scene_label,ads_name,tag,scene_index,status,boot_mode,capture_mode,slug,output_dir,review_html,result_json
ACTIVITY 1,ACTIVITY,1,0,verified,story single 0,engine-truth scene-end,ACTIVITY-1,/home/hunter/workspace/jc_reborn/regtest-references/ACTIVITY-1,/home/hunter/workspace/jc_reborn/regtest-references/ACTIVITY-1/review.html,/home/hunter/workspace/jc_reborn/regtest-references/ACTIVITY-1/result.json
ACTIVITY 4,ACTIVITY,4,4,verified,story single 4,engine-truth scene-end,ACTIVITY-4,/home/hunter/workspace/jc_reborn/regtest-references/ACTIVITY-4,/home/hunter/workspace/jc_reborn/regtest-references/ACTIVITY-4/review.html,/home/hunter/workspace/jc_reborn/regtest-references/ACTIVITY-4/result.json
ACTIVITY 5,ACTIVITY,5,5,verified,story single 5,engine-truth scene-end,ACTIVITY-5,/home/hunter/workspace/jc_reborn/regtest-references/ACTIVITY-5,/home/hunter/workspace/jc_reborn/regtest-references/ACTIVITY-5/review.html,/home/hunter/workspace/jc_reborn/regtest-references/ACTIVITY-5/result.json
ACTIVITY 6,ACTIVITY,6,6,verified,story single 6,engine-truth scene-end,ACTIVITY-6,/home/hunter/workspace/jc_reborn/regtest-references/ACTIVITY-6,/home/hunter/workspace/jc_reborn/regtest-references/ACTIVITY-6/review.html,/home/hunter/workspace/jc_reborn/regtest-references/ACTIVITY-6/result.json
ACTIVITY 7,ACTIVITY,7,7,verified,story single 7,engine-truth scene-end,ACTIVITY-7,/home/hunter/workspace/jc_reborn/regtest-references/ACTIVITY-7,/home/hunter/workspace/jc_reborn/regtest-references/ACTIVITY-7/review.html,/home/hunter/workspace/jc_reborn/regtest-references/ACTIVITY-7/result.json
ACTIVITY 8,ACTIVITY,8,8,verified,story single 8,engine-truth scene-end,ACTIVITY-8,/home/hunter/workspace/jc_reborn/regtest-references/ACTIVITY-8,/home/hunter/workspace/jc_reborn/regtest-references/ACTIVITY-8/review.html,/home/hunter/workspace/jc_reborn/regtest-references/ACTIVITY-8/result.json
ACTIVITY 9,ACTIVITY,9,9,verified,story single 9,engine-truth scene-end,ACTIVITY-9,/home/hunter/workspace/jc_reborn/regtest-references/ACTIVITY-9,/home/hunter/workspace/jc_reborn/regtest-references/ACTIVITY-9/review.html,/home/hunter/workspace/jc_reborn/regtest-references/ACTIVITY-9/result.json
ACTIVITY 10,ACTIVITY,10,3,verified,story single 3,engine-truth scene-end,ACTIVITY-10,/home/hunter/workspace/jc_reborn/regtest-references/ACTIVITY-10,/home/hunter/workspace/jc_reborn/regtest-references/ACTIVITY-10/review.html,/home/hunter/workspace/jc_reborn/regtest-references/ACTIVITY-10/result.json
ACTIVITY 11,ACTIVITY,11,2,verified,story single 2,engine-truth scene-end,ACTIVITY-11,/home/hunter/workspace/jc_reborn/regtest-references/ACTIVITY-11,/home/hunter/workspace/jc_reborn/regtest-references/ACTIVITY-11/review.html,/home/hunter/workspace/jc_reborn/regtest-references/ACTIVITY-11/result.json
ACTIVITY 12,ACTIVITY,12,1,verified,story single 1,engine-truth scene-end,ACTIVITY-12,/home/hunter/workspace/jc_reborn/regtest-references/ACTIVITY-12,/home/hunter/workspace/jc_reborn/regtest-references/ACTIVITY-12/review.html,/home/hunter/workspace/jc_reborn/regtest-references/ACTIVITY-12/result.json
